STATE NAME,Sex,Age,Average Income in 2016-17 ($)
NSW,Male,19,30494
NSW,Male,20,30494
NSW,Male,21,30494
NSW,Male,22,30494
NSW,Male,23,30494
NSW,Male,24,30494
NSW,Female,19,26272
NSW,Female,20,26272
NSW,Female,21,26272
NSW,Female,22,26272
NSW,Female,23,26272
NSW,Female,24,26272
NSW,Unknown,19,28431
NSW,Unknown,20,28431
NSW,Unknown,21,28431
NSW,Unknown,22,28431
NSW,Unknown,23,28431
NSW,Unknown,24,28431
NSW,Male,25,66018
NSW,Male,26,66018
NSW,Male,27,66018
NSW,Male,28,66018
NSW,Male,29,66018
NSW,Male,30,66018
NSW,Male,31,66018
NSW,Male,32,66018
NSW,Male,33,66018
NSW,Male,34,66018
NSW,Female,25,51373
NSW,Female,26,51373
NSW,Female,27,51373
NSW,Female,28,51373
NSW,Female,29,51373
NSW,Female,30,51373
NSW,Female,31,51373
NSW,Female,32,51373
NSW,Female,33,51373
NSW,Female,34,51373
NSW,Unknown,25,58913
NSW,Unknown,26,58913
NSW,Unknown,27,58913
NSW,Unknown,28,58913
NSW,Unknown,29,58913
NSW,Unknown,30,58913
NSW,Unknown,31,58913
NSW,Unknown,32,58913
NSW,Unknown,33,58913
NSW,Unknown,34,58913
NSW,Male,35,95252
NSW,Male,36,95252
NSW,Male,37,95252
NSW,Male,38,95252
NSW,Male,39,95252
NSW,Male,40,95252
NSW,Male,41,95252
NSW,Male,42,95252
NSW,Male,43,95252
NSW,Male,44,95252
NSW,Female,35,63200
NSW,Female,36,63200
NSW,Female,37,63200
NSW,Female,38,63200
NSW,Female,39,63200
NSW,Female,40,63200
NSW,Female,41,63200
NSW,Female,42,63200
NSW,Female,43,63200
NSW,Female,44,63200
NSW,Unknown,35,79976
NSW,Unknown,36,79976
NSW,Unknown,37,79976
NSW,Unknown,38,79976
NSW,Unknown,39,79976
NSW,Unknown,40,79976
NSW,Unknown,41,79976
NSW,Unknown,42,79976
NSW,Unknown,43,79976
NSW,Unknown,44,79976
NSW,Male,45,104590
NSW,Male,46,104590
NSW,Male,47,104590
NSW,Male,48,104590
NSW,Male,49,104590
NSW,Male,50,104590
NSW,Male,51,104590
NSW,Male,52,104590
NSW,Male,53,104590
NSW,Male,54,104590
NSW,Female,45,65484
NSW,Female,46,65484
NSW,Female,47,65484
NSW,Female,48,65484
NSW,Female,49,65484
NSW,Female,50,65484
NSW,Female,51,65484
NSW,Female,52,65484
NSW,Female,53,65484
NSW,Female,54,65484
NSW,Unknown,45,85074
NSW,Unknown,46,85074
NSW,Unknown,47,85074
NSW,Unknown,48,85074
NSW,Unknown,49,85074
NSW,Unknown,50,85074
NSW,Unknown,51,85074
NSW,Unknown,52,85074
NSW,Unknown,53,85074
NSW,Unknown,54,85074
NSW,Male,55,89726
NSW,Male,56,89726
NSW,Male,57,89726
NSW,Male,58,89726
NSW,Male,59,89726
NSW,Male,60,89726
NSW,Male,61,89726
NSW,Male,62,89726
NSW,Male,63,89726
NSW,Male,64,89726
NSW,Female,55,58984
NSW,Female,56,58984
NSW,Female,57,58984
NSW,Female,58,58984
NSW,Female,59,58984
NSW,Female,60,58984
NSW,Female,61,58984
NSW,Female,62,58984
NSW,Female,63,58984
NSW,Female,64,58984
NSW,Unknown,55,74609
NSW,Unknown,56,74609
NSW,Unknown,57,74609
NSW,Unknown,58,74609
NSW,Unknown,59,74609
NSW,Unknown,60,74609
NSW,Unknown,61,74609
NSW,Unknown,62,74609
NSW,Unknown,63,74609
NSW,Unknown,64,74609
NSW,Male,65,57638
NSW,Male,66,57638
NSW,Male,67,57638
NSW,Male,68,57638
NSW,Male,69,57638
NSW,Male,70,57638
NSW,Male,71,57638
NSW,Male,72,57638
NSW,Male,73,57638
NSW,Male,74,57638
NSW,Male,75,57638
NSW,Male,76,57638
NSW,Male,77,57638
NSW,Male,78,57638
NSW,Male,79,57638
NSW,Male,80,57638
NSW,Male,81,57638
NSW,Male,82,57638
NSW,Male,83,57638
NSW,Male,84,57638
NSW,Male,85,57638
NSW,Male,86,57638
NSW,Male,87,57638
NSW,Male,88,57638
NSW,Male,89,57638
NSW,Male,90,57638
NSW,Male,91,57638
NSW,Male,92,57638
NSW,Male,93,57638
NSW,Male,94,57638
NSW,Male,95,57638
NSW,Male,96,57638
NSW,Male,97,57638
NSW,Male,98,57638
NSW,Male,99,57638
NSW,Male,100,57638
NSW,Female,65,40571
NSW,Female,66,40571
NSW,Female,67,40571
NSW,Female,68,40571
NSW,Female,69,40571
NSW,Female,70,40571
NSW,Female,71,40571
