POSTCODE_2017,RA_NAME_2016
0800,Outer Regional Australia
0810,Outer Regional Australia
0812,Outer Regional Australia
0815,Outer Regional Australia
0820,Outer Regional Australia
0822,Outer Regional Australia
0822,Remote Australia
0822,Very Remote Australia
0828,Outer Regional Australia
0829,Outer Regional Australia
0830,Outer Regional Australia
0832,Outer Regional Australia
0834,Outer Regional Australia
0835,Outer Regional Australia
0836,Outer Regional Australia
0837,Outer Regional Australia
0838,Outer Regional Australia
0839,Outer Regional Australia
0840,Remote Australia
0841,Outer Regional Australia
0845,Remote Australia
0846,Remote Australia
0847,Remote Australia
0850,Remote Australia
0852,Remote Australia
0852,Very Remote Australia
0853,Remote Australia
0854,Very Remote Australia
0860,Very Remote Australia
0862,Very Remote Australia
0870,Remote Australia
0872,Very Remote Australia
0872,Very Remote Australia
0872,Remote Australia
0872,Very Remote Australia
0873,Remote Australia
0874,Remote Australia
0875,Remote Australia
0880,Very Remote Australia
0885,Very Remote Australia
0886,Remote Australia
2000,Major Cities of Australia
2006,Major Cities of Australia
2007,Major Cities of Australia
2008,Major Cities of Australia
2009,Major Cities of Australia
2010,Major Cities of Australia
2011,Major Cities of Australia
2015,Major Cities of Australia
2016,Major Cities of Australia
2017,Major Cities of Australia
2018,Major Cities of Australia
2019,Major Cities of Australia
2020,Major Cities of Australia
2021,Major Cities of Australia
2022,Major Cities of Australia
2023,Major Cities of Australia
2024,Major Cities of Australia
2025,Major Cities of Australia
2026,Major Cities of Australia
2027,Major Cities of Australia
2028,Major Cities of Australia
2029,Major Cities of Australia
2030,Major Cities of Australia
2031,Major Cities of Australia
2032,Major Cities of Australia
2033,Major Cities of Australia
2034,Major Cities of Australia
2035,Major Cities of Australia
2036,Major Cities of Australia
2037,Major Cities of Australia
2038,Major Cities of Australia
2039,Major Cities of Australia
2040,Major Cities of Australia
2041,Major Cities of Australia
2042,Major Cities of Australia
2043,Major Cities of Australia
2044,Major Cities of Australia
2045,Major Cities of Australia
2046,Major Cities of Australia
2047,Major Cities of Australia
2048,Major Cities of Australia
2049,Major Cities of Australia
2050,Major Cities of Australia
2052,Major Cities of Australia
2060,Major Cities of Australia
2061,Major Cities of Australia
2062,Major Cities of Australia
2063,Major Cities of Australia
2064,Major Cities of Australia
2065,Major Cities of Australia
2066,Major Cities of Australia
2067,Major Cities of Australia
2068,Major Cities of Australia
2069,Major Cities of Australia
2070,Major Cities of Australia
2071,Major Cities of Australia
2072,Major Cities of Australia
2073,Major Cities of Australia
2074,Major Cities of Australia
2075,Major Cities of Australia
2076,Major Cities of Australia
2077,Major Cities of Australia
2079,Major Cities of Australia
2080,Major Cities of Australia
2081,Major Cities of Australia
2081,Inner Regional Australia
2082,Major Cities of Australia
2082,Inner Regional Australia
2083,Inner Regional Australia
2084,Major Cities of Australia
2084,Inner Regional Australia
2085,Major Cities of Australia
2086,Major Cities of Australia
2087,Major Cities of Australia
2088,Major Cities of Australia
2089,Major Cities of Australia
2090,Major Cities of Australia
2091,Major Cities of Australia
2092,Major Cities of Australia
2093,Major Cities of Australia
2094,Major Cities of Australia
2095,Major Cities of Australia
2096,Major Cities of Australia
2097,Major Cities of Australia
2099,Major Cities of Australia
2100,Major Cities of Australia
2101,Major Cities of Australia
2102,Major Cities of Australia
2103,Major Cities of Australia
2104,Major Cities of Australia
2105,Major Cities of Australia
2105,Inner Regional Australia
2106,Major Cities of Australia
2107,Major Cities of Australia
2108,Major Cities of Australia
2108,Inner Regional Australia
2109,Major Cities of Australia
2110,Major Cities of Australia
2111,Major Cities of Australia
2112,Major Cities of Australia
2113,Major Cities of Australia
2114,Major Cities of Australia
2115,Major Cities of Australia
2116,Major Cities of Australia
2117,Major Cities of Australia
2118,Major Cities of Australia
2119,Major Cities of Australia
2120,Major Cities of Australia
2121,Major Cities of Australia
2122,Major Cities of Australia
2123,Major Cities of Australia
2125,Major Cities of Australia
2126,Major Cities of Australia
2127,Major Cities of Australia
2128,Major Cities of Australia
2129,Major Cities of Australia
2130,Major Cities of Australia
2131,Major Cities of Australia
2132,Major Cities of Australia
2133,Major Cities of Australia
2134,Major Cities of Australia
2135,Major Cities of Australia
2136,Major Cities of Australia
2137,Major Cities of Australia
2138,Major Cities of Australia
2139,Major Cities of Australia
2140,Major Cities of Australia
2141,Major Cities of Australia
2142,Major Cities of Australia
2143,Major Cities of Australia
2144,Major Cities of Australia
2145,Major Cities of Australia
2146,Major Cities of Australia
2147,Major Cities of Australia
2148,Major Cities of Australia
2150,Major Cities of Australia
2151,Major Cities of Australia
2152,Major Cities of Australia
2153,Major Cities of Australia
